date;temperature;pluie;majsite;succesAPI
2026-07-01 17:00:00 CEST;28.1;0;2026-07-01 17:44:38 CEST;yes
2026-07-01 18:00:00 CEST;27.8;0;2026-07-01 18:40:03 CEST;yes
2026-07-01 19:00:00 CEST;27.5;0;2026-07-01 19:15:03 CEST;yes
2026-07-01 20:00:00 CEST;26.9;0;2026-07-01 20:20:16 CEST;yes
2026-07-01 21:00:00 CEST;25.4;0;2026-07-01 21:15:05 CEST;yes
2026-07-01 22:00:00 CEST;24.1;0;2026-07-01 22:15:04 CEST;yes
2026-07-01 23:00:00 CEST;22.8;0;2026-07-01 23:15:04 CEST;yes
2026-07-02 00:00:00 CEST;21.6;0;2026-07-02 00:15:04 CEST;yes
2026-07-02 01:00:00 CEST;20.5;0;2026-07-02 01:15:04 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:15:04 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:15:05 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:15:05 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:15:04 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:15:05 CEST;yes
2026-07-02 07:00:00 CEST;17.3;0;2026-07-02 07:15:04 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:30:34 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:15:05 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:15:04 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:14:22 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:25:06 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:15:04 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:14:40 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:15:04 CEST;yes
